id,articulo,descripcion,id_user_id
16858,PERCHERO MADERA,CAFE,1
41594,TELEVISOR,LCD 32 PLG PLASTICO NEGRO,1
56000,SILLON LC3 PARA 1 PERSONA,"DISEÑO DE LE CORBUSIER, PIERRE JEANNERET Y CHARLOTTE PERRIAND. ESTRUCTURA CROMADA, COJINES EN ASIENTOS Y RESPALDOS DE POLIURETANO Y POLIESTER FORRADOS EN PIEL SCOZIA COLOR NEGRO CON COSTURAS A JUEGO, 99L.",1
56027,SILLON LC2 PARA 3 PERSONAS,"DISEÑO DE LE CORBUSIER, PIERRE JEANNERET Y CHARLOTTE PERRIAND. ESTRUCTURA CROMADA, COJINES EN ASIENTOS Y RESPALDOS DE POLIURETANO Y POLIESTER FORRADOS EN PIEL SCOZIA COLOR NEGRO CON COSTURAS A JUEGO, 180L.",1
56796,SILLA GORKA BASIC,SIN BRAZOS CON BASE CROMADA BRILLO Y CARCASA EN POLIAMIDA COLOR GRIS C 052. TAPICERIA SUPLEMENTARIA MARCANDO ASIENTO Y RESPALDO EN PARTE FRONTAL EN TELA T-C125,1
30113,MESA DE CENTRO,MADERA VINO,1
41651,TELEVISOR,LCD 32 PLG PLASTICO NEGRO,1
55995,SILLON LC3 PARA 1 PERSONA,"DISEÑO DE LE CORBUSIER, PIERRE JEANNERET Y CHARLOTTE PERRIAND. ESTRUCTURA CROMADA, COJINES EN ASIENTOS Y RESPALDOS DE POLIURETANO Y POLIESTER FORRADOS EN PIEL SCOZIA COLOR NEGRO CON COSTURAS A JUEGO, 99L.",1
56024,SILLON LC2 PARA 3 PERSONAS,"DISEÑO DE LE CORBUSIER, PIERRE JEANNERET Y CHARLOTTE PERRIAND. ESTRUCTURA CROMADA, COJINES EN ASIENTOS Y RESPALDOS DE POLIURETANO Y POLIESTER FORRADOS EN PIEL SCOZIA COLOR NEGRO CON COSTURAS A JUEGO, 180L.",1
56797,SILLA GORKA BASIC,SIN BRAZOS CON BASE CROMADA BRILLO Y CARCASA EN POLIAMIDA COLOR GRIS C 052. TAPICERIA SUPLEMENTARIA MARCANDO ASIENTO Y RESPALDO EN PARTE FRONTAL EN TELA T-C125,1
61452,PERCHERO MADERA COLOR CAFE,,1
17309,MESA MULTIUSOS,MADERA VINO,1
17315,MESA MULTIUSOS,MADERA VINO,1
21929,MESA DE TRABAJO MADERA,VINO,1
41682,TELEVISOR,LCD 32 PLG PLASTICO NEGRO,1
52542,SILLA DE OFICINA FIGURA II,"DISEÑO DE MARIO BELLINI. BASE CROMADA DE 5 RUEDAS PARA PISO DURO, ASIENTO Y RESPALDO EN PIEL COLOR NEGRO, BRAZOS FORRADOS EN PIEL COLOR NEGRO, CINTURON CENTRAL EN PIEL COLOR NEGRO, CON LOGOTIPO DEL SENADO GRABADO EN LA PARTE ALTA DEL RESPALDO.",1
52543,SILLA DE OFICINA FIGURA II,"DISEÑO DE MARIO BELLINI. BASE CROMADA DE 5 RUEDAS PARA PISO DURO, ASIENTO Y RESPALDO EN PIEL COLOR NEGRO, BRAZOS FORRADOS EN PIEL COLOR NEGRO, CINTURON CENTRAL EN PIEL COLOR NEGRO, CON LOGOTIPO DEL SENADO GRABADO EN LA PARTE ALTA DEL RESPALDO.",1
52545,SILLA DE OFICINA FIGURA II,"DISEÑO DE MARIO BELLINI. BASE CROMADA DE 5 RUEDAS PARA PISO DURO, ASIENTO Y RESPALDO EN PIEL COLOR NEGRO, BRAZOS FORRADOS EN PIEL COLOR NEGRO, CINTURON CENTRAL EN PIEL COLOR NEGRO, CON LOGOTIPO DEL SENADO GRABADO EN LA PARTE ALTA DEL RESPALDO.",1
52547,SILLA DE OFICINA FIGURA II,"DISEÑO DE MARIO BELLINI. BASE CROMADA DE 5 RUEDAS PARA PISO DURO, ASIENTO Y RESPALDO EN PIEL COLOR NEGRO, BRAZOS FORRADOS EN PIEL COLOR NEGRO, CINTURON CENTRAL EN PIEL COLOR NEGRO, CON LOGOTIPO DEL SENADO GRABADO EN LA PARTE ALTA DEL RESPALDO.",1
52551,SILLA DE OFICINA FIGURA II,"DISEÑO DE MARIO BELLINI. BASE CROMADA DE 5 RUEDAS PARA PISO DURO, ASIENTO Y RESPALDO EN PIEL COLOR NEGRO, BRAZOS FORRADOS EN PIEL COLOR NEGRO, CINTURON CENTRAL EN PIEL COLOR NEGRO, CON LOGOTIPO DEL SENADO GRABADO EN LA PARTE ALTA DEL RESPALDO.",1
52565,SILLA DE OFICINA FIGURA II,"DISEÑO DE MARIO BELLINI. BASE CROMADA DE 5 RUEDAS PARA PISO DURO, ASIENTO Y RESPALDO EN PIEL COLOR NEGRO, BRAZOS FORRADOS EN PIEL COLOR NEGRO, CINTURON CENTRAL EN PIEL COLOR NEGRO, CON LOGOTIPO DEL SENADO GRABADO EN LA PARTE ALTA DEL RESPALDO.",1
52570,SILLA DE OFICINA FIGURA II,"DISEÑO DE MARIO BELLINI. BASE CROMADA DE 5 RUEDAS PARA PISO DURO, ASIENTO Y RESPALDO EN PIEL COLOR NEGRO, BRAZOS FORRADOS EN PIEL COLOR NEGRO, CINTURON CENTRAL EN PIEL COLOR NEGRO, CON LOGOTIPO DEL SENADO GRABADO EN LA PARTE ALTA DEL RESPALDO.",1
52573,SILLA DE OFICINA FIGURA II,"DISEÑO DE MARIO BELLINI. BASE CROMADA DE 5 RUEDAS PARA PISO DURO, ASIENTO Y RESPALDO EN PIEL COLOR NEGRO, BRAZOS FORRADOS EN PIEL COLOR NEGRO, CINTURON CENTRAL EN PIEL COLOR NEGRO, CON LOGOTIPO DEL SENADO GRABADO EN LA PARTE ALTA DEL RESPALDO.",1
56025,SILLON LC2 PARA 2 PERSONAS,"DISEÑO DE LE CORBUSIER, PIERRE JEANNERET Y CHARLOTTE PERRIAND. ESTRUCTURA CROMADA, COJINES EN ASIENTOS Y RESPALDOS DE POLIURETANO Y POLIESTER FORRADOS EN PIEL SCOZIA COLOR NEGRO CON COSTURAS A JUEGO, 130L.",1
38366,TELEVISOR,LCD 32 PLG PLASTICO NEGRO,1
41563,TELEVISOR,LCD 32 PLG PLASTICO NEGRO,1
41769,TELEVISOR,LCD 32 PLG PLASTICO NEGRO,1
53793,SILLA GORKA,"TAPIZADA EN PIEL, BASE PULIDA DE 5 PUNTAS CON RODAJAS Y BRAZOS",1
56028,SILLA GORKA,"CON BRAZOS Y CON ESTRUCTURA EN ALUMINIO PULIDO Y ACABADO EN MADERA DE NOGAL M-685, SIN TAPIZAR,CON TACOS DE FIELTRO.",1
56029,SILLA GORKA,"CON BRAZOS Y CON ESTRUCTURA EN ALUMINIO PULIDO Y ACABADO EN MADERA DE NOGAL M-685, SIN TAPIZAR,CON TACOS DE FIELTRO.",1
56030,SILLA GORKA,"CON BRAZOS Y CON ESTRUCTURA EN ALUMINIO PULIDO Y ACABADO EN MADERA DE NOGAL M-685, SIN TAPIZAR,CON TACOS DE FIELTRO.",1
56031,SILLA GORKA,"CON BRAZOS Y CON ESTRUCTURA EN ALUMINIO PULIDO Y ACABADO EN MADERA DE NOGAL M-685, SIN TAPIZAR,CON TACOS DE FIELTRO.",1
56032,SILLA GORKA,"CON BRAZOS Y CON ESTRUCTURA EN ALUMINIO PULIDO Y ACABADO EN MADERA DE NOGAL M-685, SIN TAPIZAR,CON TACOS DE FIELTRO.",1
56033,SILLA GORKA,"CON BRAZOS Y CON ESTRUCTURA EN ALUMINIO PULIDO Y ACABADO EN MADERA DE NOGAL M-685, SIN TAPIZAR,CON TACOS DE FIELTRO.",1
56035,SILLA GORKA,"CON BRAZOS Y CON ESTRUCTURA EN ALUMINIO PULIDO Y ACABADO EN MADERA DE NOGAL M-685, SIN TAPIZAR,CON TACOS DE FIELTRO.",1
56036,SILLA GORKA,"CON BRAZOS Y CON ESTRUCTURA EN ALUMINIO PULIDO Y ACABADO EN MADERA DE NOGAL M-685, SIN TAPIZAR,CON TACOS DE FIELTRO.",1
56037,SILLA GORKA,"CON BRAZOS Y CON ESTRUCTURA EN ALUMINIO PULIDO Y ACABADO EN MADERA DE NOGAL M-685, SIN TAPIZAR,CON TACOS DE FIELTRO.",1
56038,SILLA GORKA,"CON BRAZOS Y CON ESTRUCTURA EN ALUMINIO PULIDO Y ACABADO EN MADERA DE NOGAL M-685, SIN TAPIZAR,CON TACOS DE FIELTRO.",1
56039,SILLA GORKA,"CON BRAZOS Y CON ESTRUCTURA EN ALUMINIO PULIDO Y ACABADO EN MADERA DE NOGAL M-685, SIN TAPIZAR,CON TACOS DE FIELTRO.",1
56040,SILLA GORKA,"CON BRAZOS Y CON ESTRUCTURA EN ALUMINIO PULIDO Y ACABADO EN MADERA DE NOGAL M-685, SIN TAPIZAR,CON TACOS DE FIELTRO.",1
56041,SILLA GORKA,"CON BRAZOS Y CON ESTRUCTURA EN ALUMINIO PULIDO Y ACABADO EN MADERA DE NOGAL M-685, SIN TAPIZAR,CON TACOS DE FIELTRO.",1
56042,SILLA GORKA,"CON BRAZOS Y CON ESTRUCTURA EN ALUMINIO PULIDO Y ACABADO EN MADERA DE NOGAL M-685, SIN TAPIZAR,CON TACOS DE FIELTRO.",1
56043,SILLA GORKA,"CON BRAZOS Y CON ESTRUCTURA EN ALUMINIO PULIDO Y ACABADO EN MADERA DE NOGAL M-685, SIN TAPIZAR,CON TACOS DE FIELTRO.",1
56044,MESA CARMA,"100 CM DE DIAMETRO, PIE LARGO CROMADO CON ENCIMERA EN MADERA DE NOGAL AMERICANO (M-685)",1
56045,MESA CARMA,"100 CM DE DIAMETRO, PIE LARGO CROMADO CON ENCIMERA EN MADERA DE NOGAL AMERICANO (M-685)",1
56046,MESA CARMA,"100 CM DE DIAMETRO, PIE LARGO CROMADO CON ENCIMERA EN MADERA DE NOGAL AMERICANO (M-685)",1
56047,MESA CARMA,"100 CM DE DIAMETRO, PIE LARGO CROMADO CON ENCIMERA EN MADERA DE NOGAL AMERICANO (M-685)",1
63272,MESA PARA COMEDOR REDONDA FORMAICA CAFE,,1
63273,MESA PARA COMEDOR REDONDA FORMAICA CAFE,,1
63274,MESA PARA COMEDOR REDONDA FORMAICA CAFE,,1
63275,MESA PARA COMEDOR REDONDA FORMAICA CAFE,,1
63276,MESA PARA COMEDOR REDONDA FORMAICA CAFE,,1
63277,MESA PARA COMEDOR REDONDA FORMAICA CAFE,,1
63278,MESA PARA COMEDOR REDONDA FORMAICA CAFE,,1
63279,MESA PARA COMEDOR REDONDA FORMAICA CAFE,,1
63280,MESA PARA COMEDOR REDONDA FORMAICA CAFE,,1
63281,MESA PARA COMEDOR REDONDA FORMAICA CAFE,,1
63282,MESA PARA COMEDOR REDONDA FORMAICA CAFE,,1
63284,MESA PARA COMEDOR REDONDA FORMAICA CAFE,,1
63287,SILLA FIJA MADERA CAFE,,1
63288,SILLA FIJA MADERA CAFE,,1
63289,SILLA FIJA MADERA CAFE,,1
63290,SILLA FIJA MADERA CAFE,,1
63291,SILLA FIJA MADERA CAFE,,1
63292,SILLA FIJA MADERA CAFE,,1
63293,SILLA FIJA MADERA CAFE,,1
63294,SILLA FIJA MADERA CAFE,,1
63295,SILLA FIJA MADERA CAFE,,1
63296,SILLA FIJA MADERA CAFE,,1
63297,SILLA FIJA MADERA CAFE,,1
63298,SILLA FIJA MADERA CAFE,,1
